"","replicate","plot","subplot","latitude_subplot","longitude_subplot","subplot_area_m2"
"1","A",1,"E",45.5634,-84.7285,1000
"2","A",1,"W",45.5634,-84.7285,1000
"3","A",2,"E",45.5642,-84.728,1000
"4","A",2,"W",45.5642,-84.728,1000
"5","A",3,"E",45.563,-84.7271,1000
"6","A",3,"W",45.563,-84.7271,1000
"7","A",4,"E",45.5637,-84.7264,1000
"8","A",4,"W",45.5637,-84.7264,1000
"9","B",1,"E",45.5567,-84.7268,1000
"10","B",1,"W",45.5567,-84.7268,1000
"11","B",2,"E",45.5558,-84.7268,1000
"12","B",2,"W",45.5558,-84.7268,1000
"13","B",3,"E",45.5562,-84.7257,1000
"14","B",3,"W",45.5562,-84.7257,1000
"15","B",4,"E",45.5562,-84.7244,1000
"16","B",4,"W",45.5562,-84.7244,1000
"17","C",1,"E",45.5625,-84.7078,1000
"18","C",1,"W",45.5625,-84.7078,1000
"19","C",2,"E",45.5631,-84.7067,1000
"20","C",2,"W",45.5631,-84.7067,1000
"21","C",3,"E",45.5631,-84.7054,1000
"22","C",3,"W",45.5631,-84.7054,1000
"23","C",4,"E",45.5638,-84.7034,1000
"24","C",4,"W",45.5638,-84.7034,1000
"25","D",1,"E",45.5609,-84.707,1000
"26","D",1,"W",45.5609,-84.707,1000
"27","D",2,"E",45.562,-84.705,1000
"28","D",2,"W",45.562,-84.705,1000
"29","D",3,"E",45.5604,-84.7045,1000
"30","D",3,"W",45.5604,-84.7045,1000
"31","D",4,"E",45.5618,-84.7036,1000
"32","D",4,"W",45.5618,-84.7036,1000
